"Number of Atoms","Type","Charge","Name","Ion"
"Monatomic","Cation",1,"Cesium","Cs<sup>+</sup>"
"Monatomic","Cation",1,"Hydrogen","H<sup>+</sup>"
"Monatomic","Cation",1,"Lithium","Li<sup>+</sup>"
"Monatomic","Cation",1,"Potassium","K<sup>+</sup>"
"Monatomic","Cation",1,"Sodium","Na<sup>+</sup>"
"Monatomic","Cation",1,"Silver","Ag<sup>+</sup>"
"Monatomic","Cation",2,"Barium","Ba<sup>2+</sup>"
"Monatomic","Cation",2,"Beryllium","Be<sup>2+</sup>"
"Monatomic","Cation",2,"Cadmium","Cd<sup>2+</sup>"
"Monatomic","Cation",2,"Calcium","Ca<sup>2+</sup>"
"Monatomic","Cation",2,"Magnesium","Mg<sup>2+</sup>"
"Monatomic","Cation",2,"Manganese","Mn<sup>2+</sup>"
"Monatomic","Cation",2,"Nickel","Ni<sup>2+</sup>"
"Monatomic","Cation",2,"Strontium","Sr<sup>2+</sup>"
"Monatomic","Cation",2,"Zinc","Zn<sup>2+</sup>"
"Monatomic","Cation",3,"Aluminum","Al<sup>3+</sup>"
"Monatomic","Anion",-1,"Bromide","Br<sup>-</sup>"
"Monatomic","Anion",-1,"Chloride","Cl<sup>-</sup>"
"Monatomic","Anion",-1,"Fluoride","F<sup>-</sup>"
"Monatomic","Anion",-1,"Hydride","H<sup>-</sup>"
"Monatomic","Anion",-1,"Iodide","I<sup>-</sup>"
"Monatomic","Anion",-2,"Oxide","O<sup>2-</sup>"
"Monatomic","Anion",-2,"Sulfide","S<sup>2-</sup>"
"Monatomic","Anion",-3,"Nitride","N<sup>3-</sup>"
"Monatomic","Anion",-3,"Phosphide","P<sup>3-</sup>"
"Monatomic","Cation Type II",2,"Chromium(II)","Cr<sup>2+</sup>"
"Monatomic","Cation Type II",3,"Chromium(III)","Cr<sup>3+</sup>"
"Monatomic","Cation Type II",4,"Chromium(IV)","Cr<sup>4+</sup>"
"Monatomic","Cation Type II",2,"Cobalt(II)","Co<sup>2+</sup>"
"Monatomic","Cation Type II",3,"Cobalt(III)","Co<sup>3+</sup>"
"Monatomic","Cation Type II",1,"Copper(I)","Cu<sup>+</sup>"
"Monatomic","Cation Type II",2,"Copper(II)","Cu<sup>2+</sup>"
"Monatomic","Cation Type II",2,"Iron(II)","Fe<sup>2+</sup>"
"Monatomic","Cation Type II",3,"Iron(III)","Fe<sup>3+</sup>"
