Element,Element,Hydrogen,Helium,Lithium,Beryllium,Boron,Carbon,Nitrogen,Oxygen,Fluorine,Neon,Sodium,Magnesium,Aluminum,Silicon,Phosphorus,Sulfur,Chlorine,Argon,Potassium,Calcium,Scandium,Titanium,Vanadium,Chromium,Manganese,Iron,Cobalt,Nickel,Copper,Zinc,Gallium,Germanium,Arsenic,Selenium,Bromine,Krypton,Rubidium,Strontium,Yttrium,Zirconium,Niobium,Molybdenum,Technetium,Ruthenium,Rhodium,Palladium,Silver,Cadmium,Indium,Tin,Antimony,Tellurium,Iodine,Xenon,Cesium,Barium,Lanthanum,Cerium,Praseodymium,Neodymium,Promethium,Samarium,Europium,Gadolinium,Terbium,Dysprosium,Holmium,Erbium,Thulium,Ytterbium,Lutetium,Hafnium,Tantalum,Tungsten,Rhenium,Osmium,Iridium,Platinum,Gold,Mercury,Thallium,Lead,Bismuth,Polonium,Astatine,Radon,Francium,Radium,Actinium,Thorium,Protactinium,Uranium,Neptunium,Plutonium,Americium,Curium,Berkelium,Californium,Einsteinium,Fermium,Mendelevium,Nobelium,Lawrencium,Rutherfordium,Dubnium,Seaborgium,Bohrium,Hassium,Meitnerium,Darmstadtium,Roentgenium,Copernicium,Nihonium,Flerovium,Moscovium,Livermorium,Tennessine,Oganesson
0,atomicNumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
1,symbol,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
2,atomicMass,1.00794(4),4.002602(2),6.941(2),9.012182(3),10.811(7),12.0107(8),14.0067(2),15.9994(3),18.9984032(5),20.1797(6),22.98976928(2),24.3050(6),26.9815386(8),28.0855(3),30.973762(2),32.065(5),35.453(2),39.948(1),39.0983(1),40.078(4),44.955912(6),47.867(1),50.9415(1),51.9961(6),54.938045(5),55.845(2),58.933195(5),58.6934(4),63.546(3),65.38(2),69.723(1),72.64(1),74.92160(2),78.96(3),79.904(1),83.798(2),85.4678(3),87.62(1),88.90585(2),91.224(2),92.90638(2),95.96(2),[98],101.07(2),102.90550(2),106.42(1),107.8682(2),112.411(8),114.818(3),118.710(7),121.760(1),127.60(3),126.90447(3),131.293(6),132.9054519(2),137.327(7),138.90547(7),140.116(1),140.90765(2),144.242(3),[145],150.36(2),151.964(1),157.25(3),158.92535(2),162.500(1),164.93032(2),167.259(3),168.93421(2),173.054(5),174.9668(1),178.49(2),180.94788(2),183.84(1),186.207(1),190.23(3),192.217(3),195.084(9),196.966569(4),200.59(2),204.3833(2),207.2(1),208.98040(1),[209],[210],[222],[223],[226],[227],232.03806(2),231.03588(2),238.02891(3),[237],[244],[243],[247],[247],[251],[252],[257],[258],[259],[262],[267],[268],[271],[272],[270],[276],[281],[280],[285],[284],[289],[288],[293],[294],[294]
3,cpkHexColor,FFFFFF,D9FFFF,CC80FF,C2FF00,FFB5B5,909090,3050F8,FF0D0D,90E050,B3E3F5,AB5CF2,8AFF00,BFA6A6,F0C8A0,FF8000,FFFF30,1FF01F,80D1E3,8F40D4,3DFF00,E6E6E6,BFC2C7,A6A6AB,8A99C7,9C7AC7,E06633,F090A0,50D050,C88033,7D80B0,C28F8F,668F8F,BD80E3,FFA100,A62929,5CB8D1,702EB0,00FF00,94FFFF,94E0E0,73C2C9,54B5B5,3B9E9E,248F8F,0A7D8C,6985,C0C0C0,FFD98F,A67573,668080,9E63B5,D47A00,940094,429EB0,57178F,00C900,70D4FF,FFFFC7,D9FFC7,C7FFC7,A3FFC7,8FFFC7,61FFC7,45FFC7,30FFC7,1FFFC7,00FF9C,0.00E+00,00D452,00BF38,00AB24,4DC2FF,4DA6FF,2194D6,267DAB,266696,175487,D0D0E0,FFD123,B8B8D0,A6544D,575961,9E4FB5,AB5C00,754F45,428296,420066,007D00,70ABFA,00BAFF,00A1FF,008FFF,0080FF,006BFF,545CF2,785CE3,8A4FE3,A136D4,B31FD4,B31FBA,B30DA6,BD0D87,C70066,CC0059,D1004F,D90045,E00038,E6002E,EB0026,,,,,,,,,
4,electronicConfiguration,1s1,1s2,[He]2s1,[He]2s2,[He]2s22p1,[He]2s22p2,[He]2s22p3,[He]2s22p4,[He]2s22p5,[He]2s22p6,[Ne]3s1,[Ne]3s2,[Ne]3s23p1,[Ne]3s23p2,[Ne]3s23p3,[Ne]3s23p4,[Ne]3s23p5,[Ne]3s23p6,[Ar]4s1,[Ar]4s2,[Ar]3d14s2,[Ar]3d24s2,[Ar]3d34s2,[Ar]3d54s1,[Ar]3d54s2,[Ar]3d64s2,[Ar]3d74s2,[Ar]3d84s2,[Ar]3d104s1,[Ar]3d104s2,[Ar]3d104s24p1,[Ar]3d104s24p2,[Ar]3d104s24p3,[Ar]3d104s24p4,[Ar]3d104s24p5,[Ar]3d104s24p6,[Kr]5s1,[Kr]5s2,[Kr]4d15s2,[Kr]4d25s2,[Kr]4d45s1,[Kr]4d55s1,[Kr]4d55s2,[Kr]4d75s1,[Kr]4d85s1,[Kr]4d10,[Kr]4d105s1,[Kr]4d105s2,[Kr]4d105s25p1,[Kr]4d105s25p2,[Kr]4d105s25p3,[Kr]4d105s25p4,[Kr]4d105s25p5,[Kr]4d105s25p6,[Xe]6s1,[Xe]6s2,[Xe]5d16s2,[Xe]4f15d16s2,[Xe]4f36s2,[Xe]4f46s2,[Xe]4f56s2,[Xe]4f66s2,[Xe]4f76s2,[Xe]4f75d16s2,[Xe]4f96s2,[Xe]4f106s2,[Xe]4f116s2,[Xe]4f126s2,[Xe]4f136s2,[Xe]4f146s2,[Xe]4f145d16s2,[Xe]4f145d26s2,[Xe]4f145d36s2,[Xe]4f145d46s2,[Xe]4f145d56s2,[Xe]4f145d66s2,[Xe]4f145d76s2,[Xe]4f145d96s1,[Xe]4f145d106s1,[Xe]4f145d106s2,[Xe]4f145d106s26p1,[Xe]4f145d106s26p2,[Xe]4f145d106s26p3,[Xe]4f145d106s26p4,[Xe]4f145d106s26p5,[Xe]4f145d106s26p6,[Rn]7s1,[Rn]7s2,[Rn]6d17s2,[Rn]6d27s2,[Rn]5f26d17s2,[Rn]5f36d17s2,[Rn]5f46d17s2,[Rn]5f67s2,[Rn]5f77s2,[Rn]5f76d17s2,[Rn]5f97s2,[Rn]5f107s2,[Rn]5f117s2,[Rn]5f127s2,[Rn]5f137s2,[Rn]5f147s2,[Rn]5f147s27p1,[Rn]5f146d27s2,[Rn]5f146d37s2,[Rn]5f146d47s2,[Rn]5f146d57s2,[Rn]5f146d67s2,[Rn]5f146d77s2,[Rn]5f146d97s1,[Rn]5f146d107s1,[Rn]5f146d107s2,[Rn]5f146d107s27p1,[Rn]5f146d107s27p2,[Rn]5f146d107s27p3,[Rn]5f146d107s27p4,[Rn]5f146d107s27p5,[Rn]5f146d107s27p6
5,electronegativity,2.2,,0.98,1.57,2.04,2.55,3.04,3.44,3.98,,0.93,1.31,1.61,1.9,2.19,2.58,3.16,,0.82,1.0,1.36,1.54,1.63,1.66,1.55,1.83,1.88,1.91,1.9,1.65,1.81,2.01,2.18,2.55,2.96,,0.82,0.95,1.22,1.33,1.6,2.16,1.9,2.2,2.28,2.2,1.93,1.69,1.78,1.96,2.05,2.1,2.66,,0.79,0.89,1.1,1.12,1.13,1.14,1.13,1.17,1.2,1.2,1.2,1.22,1.23,1.24,1.25,1.1,1.27,1.3,1.5,2.36,1.9,2.2,2.2,2.28,2.54,2.0,2.04,2.33,2.02,2.0,2.2,,0.7,0.9,1.1,1.3,1.5,1.38,1.36,1.28,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,,
6,atomicRadius,37.0,32.0,134.0,90.0,82.0,77.0,75.0,73.0,71.0,69.0,154.0,130.0,118.0,111.0,106.0,102.0,99.0,97.0,196.0,174.0,144.0,136.0,125.0,127.0,139.0,125.0,126.0,121.0,138.0,131.0,126.0,122.0,119.0,116.0,114.0,110.0,211.0,192.0,162.0,148.0,137.0,145.0,156.0,126.0,135.0,131.0,153.0,148.0,144.0,141.0,138.0,135.0,133.0,130.0,225.0,198.0,169.0,,,,,,,,,,,,,,160.0,150.0,138.0,146.0,159.0,128.0,137.0,128.0,144.0,149.0,148.0,147.0,146.0,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ionRadius,,,76(+1),45(+2),27(+3),16(+4),146(-3),140(-2),133(-1),,102(+1),72(+2),53.5(+3),40(+4),44(+3),184(-2),181(-1),,138(+1),100(+2),74.5(+3),86(+2),79(+2),80(+2*),67(+2),78(+2*),74.5(+2*),69(+2),77(+1),74(+2),62(+3),73(+2),58(+3),198(-2),196(-1),,152(+1),118(+2),90(+3),72(+4),72(+3),69(+3),64.5(+4),68(+3),66.5(+3),59(+1),115(+1),95(+2),80(+3),112(+2),76(+3),221(-2),220(-1),48(+8),167(+1),135(+2),103.2(+3),102(+3),99(+3),129(+2),97(+3),122(+2),117(+2),93.8(+3),92.3(+3),107(+2),90.1(+3),89(+3),103(+2),102(+2),86.1(+3),71(+4),72(+3),66(+4),63(+4),63(+4),68(+3),86(+2),137(+1),119(+1),150(+1),119(+2),103(+3),94(+4),62(+7),,180(+1),148(+2),112(+3),94(+4),104(+3),102.5(+3),110(+2),100(+3),126(+2),97(+3),96(+3),95(+3),,,,,,,,,,,,,,,,,,,,
8,vanDelWaalsRadius,120.0,140.0,182.0,,,170.0,155.0,152.0,147.0,154.0,227.0,173.0,,210.0,180.0,180.0,175.0,188.0,275.0,,,,,,,,,163.0,140.0,139.0,187.0,,185.0,190.0,185.0,202.0,,,,,,,,,,163.0,172.0,158.0,193.0,217.0,,206.0,198.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,175.0,166.0,155.0,196.0,202.0,,,,,,,,,,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ionizationEnergy,1312.0,2372.0,520.0,900.0,801.0,1087.0,1402.0,1314.0,1681.0,2081.0,496.0,738.0,578.0,787.0,1012.0,1000.0,1251.0,1521.0,419.0,590.0,633.0,659.0,651.0,653.0,717.0,763.0,760.0,737.0,746.0,906.0,579.0,762.0,947.0,941.0,1140.0,1351.0,403.0,550.0,600.0,640.0,652.0,684.0,702.0,710.0,720.0,804.0,731.0,868.0,558.0,709.0,834.0,869.0,1008.0,1170.0,376.0,503.0,538.0,534.0,527.0,533.0,540.0,545.0,547.0,593.0,566.0,573.0,581.0,589.0,597.0,603.0,524.0,659.0,761.0,770.0,760.0,840.0,880.0,870.0,890.0,1007.0,589.0,716.0,703.0,812.0,920.0,1037.0,380.0,509.0,499.0,587.0,568.0,598.0,605.0,585.0,578.0,581.0,601.0,608.0,619.0,627.0,635.0,642.0,,,,,,,,,,,,,,,,
